entry_filter,confidence_threshold,risk_multiplier,reward_points,stop_points,trailing_stop,partial_exit_fraction,trade_count,net_pnl,profit_factor,win_rate,expectancy,max_drawdown,avg_winner,avg_loser,meets_min_trades,rank
none,0.43108233117483813,1.25,22.5,30.0,True,0.0,66692,10209802.875000011,3.666788091451185,0.49113836742038025,153.0888693546454,-34382.99999999796,428.585090062586,-112.81202669652578,True,1
none,0.435759209344115,1.25,22.5,30.0,True,0.0,66692,10209802.875000011,3.666788091451185,0.49113836742038025,153.0888693546454,-34382.99999999796,428.585090062586,-112.81202669652578,True,2
none,0.43108233117483813,1.25,22.5,22.5,True,0.0,66692,10063439.812500011,3.628558237566438,0.49113836742038025,150.8942573696997,-34382.99999999796,424.11667111891336,-112.81202669652578,True,3
none,0.435759209344115,1.25,22.5,22.5,True,0.0,66692,10063439.812500011,3.628558237566438,0.49113836742038025,150.8942573696997,-34382.99999999796,424.11667111891336,-112.81202669652578,True,4
none,0.43108233117483813,1.25,18.75,30.0,True,0.0,66692,9983054.25000001,3.6075616264247556,0.49113836742038025,149.6889319558569,-26403.749999999243,421.6625248053734,-112.81202669652578,True,5
none,0.435759209344115,1.25,18.75,30.0,True,0.0,66692,9983054.25000001,3.6075616264247556,0.49113836742038025,149.6889319558569,-26403.749999999243,421.6625248053734,-112.81202669652578,True,6
none,0.43108233117483813,1.25,18.75,22.5,True,0.0,66692,9808758.75000001,3.562035853842831,0.49113836742038025,147.07549256282627,-26403.749999999243,416.3413372004276,-112.81202669652578,True,7
none,0.435759209344115,1.25,18.75,22.5,True,0.0,66692,9808758.75000001,3.562035853842831,0.49113836742038025,147.07549256282627,-26403.749999999243,416.3413372004276,-112.81202669652578,True,8
none,0.43108233117483813,1.25,22.5,15.0,True,0.0,66692,9774360.375000011,3.5530510401360074,0.49113836742038025,146.5597129340852,-34382.99999999796,415.2911654709207,-112.81202669652578,True,9
none,0.435759209344115,1.25,22.5,15.0,True,0.0,66692,9774360.375000011,3.5530510401360074,0.49113836742038025,146.5597129340852,-34382.99999999796,415.2911654709207,-112.81202669652578,True,10
none,0.43108233117483813,1.25,22.5,30.0,True,0.5,66692,9697748.75625001,3.497247784383159,0.47283032447669887,145.41097517318434,-39426.14999999787,430.6819119838906,-110.45493646538468,True,11
none,0.435759209344115,1.25,22.5,30.0,True,0.5,66692,9697748.75625001,3.497247784383159,0.47283032447669887,145.41097517318434,-39426.14999999787,430.6819119838906,-110.45493646538468,True,12
none,0.43108233117483813,1.25,22.5,22.5,True,0.5,66692,9624567.22500001,3.478402955406326,0.47283032447669887,144.31366918071149,-39426.14999999787,428.36119367190986,-110.45493646538468,True,13
none,0.435759209344115,1.25,22.5,22.5,True,0.5,66692,9624567.22500001,3.478402955406326,0.47283032447669887,144.31366918071149,-39426.14999999787,428.36119367190986,-110.45493646538468,True,14
none,0.43108233117483813,1.25,22.5,15.0,True,0.5,66692,9480027.506250009,3.4411828230357924,0.47283032447669887,142.14639696290422,-39426.14999999787,423.7775785659924,-110.45493646538468,True,15
none,0.435759209344115,1.25,22.5,15.0,True,0.5,66692,9480027.506250009,3.4411828230357924,0.47283032447669887,142.14639696290422,-39426.14999999787,423.7775785659924,-110.45493646538468,True,16
none,0.43108233117483813,1.25,18.75,15.0,True,0.0,66692,9469591.125000011,3.4734456827661164,0.49113836742038025,141.98991070893078,-26403.749999999243,405.98665470920486,-112.81202669652578,True,17
none,0.435759209344115,1.25,18.75,15.0,True,0.0,66692,9469591.125000011,3.4734456827661164,0.49113836742038025,141.98991070893078,-26403.749999999243,405.98665470920486,-112.81202669652578,True,18
none,0.43108233117483813,1.25,18.75,30.0,True,0.5,66692,9386532.637500009,3.417107147360377,0.47283032447669887,140.74450664997315,-28684.79999999894,420.8126876942349,-110.45493646538468,True,19
none,0.435759209344115,1.25,18.75,30.0,True,0.5,66692,9386532.637500009,3.417107147360377,0.47283032447669887,140.74450664997315,-28684.79999999894,420.8126876942349,-110.45493646538468,True,20
none,0.43108233117483813,1.25,15.0,30.0,True,0.0,66692,9313586.250000007,3.432697399184948,0.49113836742038025,139.65072647394,-23894.24999999907,401.22387421767684,-112.81202669652578,True,21
none,0.435759209344115,1.25,15.0,30.0,True,0.0,66692,9313586.250000007,3.432697399184948,0.49113836742038025,139.65072647394,-23894.24999999907,401.22387421767684,-112.81202669652578,True,22
none,0.43108233117483813,1.25,18.75,22.5,True,0.5,66692,9299384.88750001,3.394665905473056,0.47283032447669887,139.43778695345785,-28684.79999999894,418.0490754027401,-110.45493646538468,True,23
none,0.435759209344115,1.25,18.75,22.5,True,0.5,66692,9299384.88750001,3.394665905473056,0.47283032447669887,139.43778695345785,-28684.79999999894,418.0490754027401,-110.45493646538468,True,24
none,0.43108233117483813,1.25,18.75,15.0,True,0.5,66692,9129801.075000009,3.3509967188734398,0.47283032447669887,136.89499602651006,-28684.79999999894,412.671266926175,-110.45493646538468,True,25
